country,city,activity,season,trend_score,avg_daily_precipitation,avg_daily_temperature,avg_daily_daylight,avg_daily_wind_speed,season_duration
Canada,British Columbia,hiking,summer,0.2576923076923077,1.4902174,14.919488,59104.96,15.299843,92
Canada,British Columbia,museum,summer,0.56,1.4902174,14.919488,59104.96,15.299843,92
Canada,British Columbia,beach,summer,0.4253846153846154,1.4902174,14.919488,59104.96,15.299843,92
Canada,Alberta,hiking,spring,0.3407692307692308,1.6999999,0.6849666,51428.254,19.680952,92
Canada,Alberta,museum,spring,0.6423076923076922,1.6999999,0.6849666,51428.254,19.680952,92
Canada,Alberta,beach,spring,0.6646153846153847,1.6999999,0.6849666,51428.254,19.680952,92
Canada,Alberta,hiking,summer,0.2576923076923077,4.392391,13.964858,59104.96,18.721994,92
Canada,Alberta,museum,summer,0.56,4.392391,13.964858,59104.96,18.721994,92
Canada,Alberta,beach,summer,0.4253846153846154,4.392391,13.964858,59104.96,18.721994,92
Turkey,İstanbul,hiking,spring,0.465,2.4206524,13.88227,48377.266,19.641237,92
Turkey,İstanbul,museum,spring,0.08,2.4206524,13.88227,48377.266,19.641237,92
Turkey,İstanbul,beach,spring,0.1426923076923077,2.4206524,13.88227,48377.266,19.641237,92
Turkey,İstanbul,hiking,summer,0.5359016393442623,0.7032609,25.620407,52805.74,24.291422,92
Turkey,İstanbul,museum,summer,0.06568627450980392,0.7032609,25.620407,52805.74,24.291422,92
Turkey,Ankara,hiking,spring,0.465,1.7956522,11.77529,48168.78,16.168816,92
Turkey,Ankara,museum,spring,0.08,1.7956522,11.77529,48168.78,16.168816,92
Turkey,Ankara,beach,spring,0.1426923076923077,1.7956522,11.77529,48168.78,16.168816,92
Turkey,Ankara,hiking,summer,0.5359016393442623,0.62391305,23.937336,52382.49,16.856146,92
Turkey,Ankara,museum,summer,0.06568627450980392,0.62391305,23.937336,52382.49,16.856146,92
Turkey,Ankara,beach,summer,0.13728395061728396,0.62391305,23.937336,52382.49,16.856146,92
